id,vehicle_identifier,longitude,latitude,date_time
18665416,EAFP7,-15.4163971,28.1405182,2024-10-29 09:28:54
18665417,QLJD0,-15.3910017,27.9737854,2024-10-29 09:28:57
18665418,YIFR2,-15.3927679,27.9866886,2024-10-29 09:28:57
18665419,CYEL8,-15.4142466,28.1533947,2024-10-29 09:28:57
18665534,EAFP7,-15.4163971,28.1405182,2024-10-29 09:29:51
18665535,QLJD0,-15.3910017,27.9737854,2024-10-29 09:29:53
18665536,YIFR2,-15.3927422,27.9858952,2024-10-29 09:29:53
18665537,CYEL8,-15.4170876,28.1498375,2024-10-29 09:29:53
18665652,EAFP7,-15.4163971,28.1405182,2024-10-29 09:30:51
18665653,QLJD0,-15.3906431,27.9776249,2024-10-29 09:31:02
18665654,YIFR2,-15.3927422,27.9858952,2024-10-29 09:31:02
18665655,CYEL8,-15.4162683,28.143692,2024-10-29 09:31:02
18665770,EAFP7,-15.4163971,28.1405182,2024-10-29 09:31:51
18665771,QLJD0,-15.3906431,27.9776249,2024-10-29 09:31:54
18665772,YIFR2,-15.3927422,27.9858952,2024-10-29 09:31:54
18665773,CYEL8,-15.4162683,28.143692,2024-10-29 09:31:54
18665888,EAFP7,-15.4163971,28.1405182,2024-10-29 09:32:51
18665889,QLJD0,-15.3910532,27.979929,2024-10-29 09:32:54
18665890,YIFR2,-15.3927422,27.9858952,2024-10-29 09:32:54
18665891,CYEL8,-15.415782,28.1420803,2024-10-29 09:32:54
18666006,EAFP7,-15.4163971,28.1405182,2024-10-29 09:33:51
18666007,QLJD0,-15.3914623,27.9817467,2024-10-29 09:33:54
18666008,YIFR2,-15.3927422,27.9858952,2024-10-29 09:33:54
18666009,CYEL8,-15.415782,28.1420803,2024-10-29 09:33:54
18666124,EAFP7,-15.4163971,28.1405182,2024-10-29 09:34:51
18666125,QLJD0,-15.3914623,27.9817467,2024-10-29 09:34:55
18666126,YIFR2,-15.3927422,27.9858952,2024-10-29 09:34:55
18666127,CYEL8,-15.415782,28.1421051,2024-10-29 09:34:55
18666242,EAFP7,-15.4163971,28.1405182,2024-10-29 09:35:51
18666243,QLJD0,-15.3918209,27.983284,2024-10-29 09:35:55
18666244,YIFR2,-15.3927422,27.9858952,2024-10-29 09:35:55
18666245,CYEL8,-15.415782,28.1421051,2024-10-29 09:35:55
18666360,EAFP7,-15.4163971,28.1405182,2024-10-29 09:36:51
18666361,QLJD0,-15.3921795,27.9846916,2024-10-29 09:36:54
18666362,YIFR2,-15.3926916,27.9856129,2024-10-29 09:36:54
18666363,CYEL8,-15.415782,28.1420803,2024-10-29 09:36:54
18666478,EAFP7,-15.4163971,28.1405182,2024-10-29 09:37:51
18666479,QLJD0,-15.3921795,27.9846916,2024-10-29 09:37:54
18666480,YIFR2,-15.3926916,27.9856129,2024-10-29 09:37:54
18666481,CYEL8,-15.415782,28.1420803,2024-10-29 09:37:54
18666596,EAFP7,-15.4163971,28.1405182,2024-10-29 09:38:51
18666597,QLJD0,-15.39223,27.985178,2024-10-29 09:38:54
18666598,YIFR2,-15.3914108,27.9803143,2024-10-29 09:38:54
18666599,CYEL8,-15.415782,28.1420803,2024-10-29 09:38:54
18666714,EAFP7,-15.4163971,28.1405182,2024-10-29 09:39:51
18666715,QLJD0,-15.39223,27.985178,2024-10-29 09:39:55
18666716,YIFR2,-15.3909245,27.9709702,2024-10-29 09:39:55
18666717,CYEL8,-15.415782,28.1420803,2024-10-29 09:39:55
18666832,EAFP7,-15.4163971,28.1405182,2024-10-29 09:40:51
18666833,QLJD0,-15.3922558,27.9864826,2024-10-29 09:40:54
18666834,YIFR2,-15.387392,27.9503613,2024-10-29 09:40:54
18666835,CYEL8,-15.415782,28.1420803,2024-10-29 09:40:54
18666950,EAFP7,-15.4163971,28.1405182,2024-10-29 09:41:51
18666951,QLJD0,-15.3921537,27.9891968,2024-10-29 09:41:54
18666952,YIFR2,-15.3902845,27.9416313,2024-10-29 09:41:54
18666953,CYEL8,-15.415782,28.1420803,2024-10-29 09:41:54
18667068,EAFP7,-15.4163713,28.1403904,2024-10-29 09:42:51
18667069,QLJD0,-15.3921537,27.9891968,2024-10-29 09:42:54
18667070,YIFR2,-15.3902845,27.9416313,2024-10-29 09:42:54
18667071,CYEL8,-15.415782,28.1420803,2024-10-29 09:42:54
18667186,EAFP7,-15.4163456,28.1403904,2024-10-29 09:43:52
18667187,QLJD0,-15.3920507,27.9922695,2024-10-29 09:43:55
18667188,YIFR2,-15.3982973,27.9225349,2024-10-29 09:43:55
18667189,CYEL8,-15.415782,28.1420803,2024-10-29 09:43:55
18667304,EAFP7,-15.4163456,28.1403904,2024-10-29 09:44:52
18667305,QLJD0,-15.3920507,27.9922695,2024-10-29 09:44:55
18667306,YIFR2,-15.3982973,27.9225349,2024-10-29 09:44:55
18667307,CYEL8,-15.415782,28.1420803,2024-10-29 09:44:55
18667422,EAFP7,-15.4163713,28.1403904,2024-10-29 09:45:51
18667423,QLJD0,-15.3920002,27.9933701,2024-10-29 09:45:54
18667424,YIFR2,-15.3986301,27.9210243,2024-10-29 09:45:54
18667425,CYEL8,-15.4158077,28.1420803,2024-10-29 09:45:54
18667540,EAFP7,-15.4164228,28.1398792,2024-10-29 09:46:51
18667541,QLJD0,-15.3918724,27.9967747,2024-10-29 09:46:54
18667542,YIFR2,-15.3986301,27.9210243,2024-10-29 09:46:54
18667543,CYEL8,-15.4158077,28.1420803,2024-10-29 09:46:54
18667658,EAFP7,-15.4164228,28.1398792,2024-10-29 09:47:51
18667659,QLJD0,-15.3918724,27.9967747,2024-10-29 09:47:55
18667660,YIFR2,-15.399066,27.9200764,2024-10-29 09:47:55
18667661,CYEL8,-15.415782,28.1420803,2024-10-29 09:47:54
18667776,EAFP7,-15.4164476,28.1398792,2024-10-29 09:48:52
18667777,QLJD0,-15.3916931,28.0008965,2024-10-29 09:48:56
18667778,YIFR2,-15.4019585,27.9224072,2024-10-29 09:48:56
18667779,CYEL8,-15.415782,28.1420803,2024-10-29 09:48:56
18667894,EAFP7,-15.4164476,28.1398792,2024-10-29 09:49:52
18667895,QLJD0,-15.3916931,28.0008965,2024-10-29 09:49:55
18667896,YIFR2,-15.4019585,27.9224072,2024-10-29 09:49:55
18667897,CYEL8,-15.415782,28.1420803,2024-10-29 09:49:55
18668012,EAFP7,-15.4164476,28.139904,2024-10-29 09:50:51
18668013,QLJD0,-15.3915396,28.0029449,2024-10-29 09:50:56
18668014,YIFR2,-15.4016771,27.9223804,2024-10-29 09:50:56
18668015,CYEL8,-15.4158077,28.1420803,2024-10-29 09:50:56
18668130,EAFP7,-15.4163971,28.1396732,2024-10-29 09:51:51
18668131,QLJD0,-15.3907204,28.0057335,2024-10-29 09:51:54
18668132,YIFR2,-15.4016771,27.9223804,2024-10-29 09:51:53
18668133,CYEL8,-15.4158077,28.1420803,2024-10-29 09:51:53
18668248,EAFP7,-15.4163971,28.1396732,2024-10-29 09:52:52
18668249,QLJD0,-15.3907204,28.0057335,2024-10-29 09:52:55
18668250,YIFR2,-15.4016771,27.9223804,2024-10-29 09:52:55
18668251,CYEL8,-15.415782,28.1420803,2024-10-29 09:52:55
18668366,EAFP7,-15.4163971,28.1396732,2024-10-29 09:53:51
18668367,QLJD0,-15.3901825,28.0074234,2024-10-29 09:53:54
18668368,YIFR2,-15.4016771,27.9223804,2024-10-29 09:53:54
18668369,CYEL8,-15.415782,28.1420803,2024-10-29 09:53:54
18668484,EAFP7,-15.4163971,28.1396732,2024-10-29 09:54:51
18668485,QLJD0,-15.3895931,28.0091896,2024-10-29 09:54:54
18668486,YIFR2,-15.4016771,27.9223804,2024-10-29 09:54:54
18668487,CYEL8,-15.415782,28.1420803,2024-10-29 09:54:54
18668602,EAFP7,-15.4162941,28.1394424,2024-10-29 09:55:51
18668603,QLJD0,-15.3895931,28.0091896,2024-10-29 09:55:54
18668604,YIFR2,-15.4017019,27.9223804,2024-10-29 09:55:54
18668605,CYEL8,-15.415782,28.1420803,2024-10-29 09:55:53
18668720,EAFP7,-15.4163456,28.1390591,2024-10-29 09:56:51
18668721,QLJD0,-15.3886719,28.0119305,2024-10-29 09:56:54
18668722,YIFR2,-15.4017019,27.9223804,2024-10-29 09:56:54
18668723,CYEL8,-15.415782,28.1420803,2024-10-29 09:56:54
18668838,EAFP7,-15.4163456,28.1390591,2024-10-29 09:57:51
18668839,QLJD0,-15.3880062,28.0139256,2024-10-29 09:57:55
18668840,YIFR2,-15.4021378,27.9224319,2024-10-29 09:57:55
18668841,CYEL8,-15.415782,28.1420803,2024-10-29 09:57:55
18668956,EAFP7,-15.4163713,28.1390076,2024-10-29 09:58:51
18668957,QLJD0,-15.3880062,28.0139256,2024-10-29 09:58:54
18668958,YIFR2,-15.4021378,27.9224834,2024-10-29 09:58:54
18668959,CYEL8,-15.415782,28.1420803,2024-10-29 09:58:54
18669074,EAFP7,-15.4163713,28.1390076,2024-10-29 09:59:51
18669075,QLJD0,-15.3874178,28.0156937,2024-10-29 09:59:55
18669076,YIFR2,-15.4021378,27.9224834,2024-10-29 09:59:55
18669077,CYEL8,-15.4158077,28.1420536,2024-10-29 09:59:55
18669192,EAFP7,-15.4164228,28.1390076,2024-10-29 10:00:52
18669193,QLJD0,-15.3874178,28.0156937,2024-10-29 10:00:56
18669194,YIFR2,-15.4021378,27.9224834,2024-10-29 10:00:56
18669195,CYEL8,-15.4158335,28.1420536,2024-10-29 10:00:55
18669310,EAFP7,-15.4163713,28.1382904,2024-10-29 10:01:52
18669311,QLJD0,-15.3867521,28.0187645,2024-10-29 10:01:56
18669312,YIFR2,-15.4021378,27.9224834,2024-10-29 10:01:56
18669313,CYEL8,-15.4158335,28.1420536,2024-10-29 10:01:56
18669428,EAFP7,-15.4163713,28.1382904,2024-10-29 10:02:51
18669429,QLJD0,-15.3890047,28.0231934,2024-10-29 10:02:54
18669430,YIFR2,-15.4021378,27.9224834,2024-10-29 10:02:54
18669431,CYEL8,-15.4158077,28.1420536,2024-10-29 10:02:54
18669546,EAFP7,-15.4164476,28.1378555,2024-10-29 10:03:51
18669547,QLJD0,-15.3890047,28.0231934,2024-10-29 10:03:54
18669548,YIFR2,-15.4021378,27.9224834,2024-10-29 10:03:54
18669549,CYEL8,-15.4158077,28.1420536,2024-10-29 10:03:54
18669664,EAFP7,-15.4164476,28.1378555,2024-10-29 10:04:51
18669665,QLJD0,-15.3907204,28.0243721,2024-10-29 10:04:54
18669666,YIFR2,-15.4021378,27.9224834,2024-10-29 10:04:54
18669667,CYEL8,-15.4158335,28.1447163,2024-10-29 10:04:54
18669782,EAFP7,-15.4164734,28.1376762,2024-10-29 10:05:51
18669783,QLJD0,-15.3907204,28.0243721,2024-10-29 10:05:54
18669784,YIFR2,-15.4021378,27.9224834,2024-10-29 10:05:54
18669785,CYEL8,-15.4147844,28.1451511,2024-10-29 10:05:54
18669900,EAFP7,-15.4164228,28.1371899,2024-10-29 10:06:51
18669901,QLJD0,-15.3927937,28.0257797,2024-10-29 10:06:54
18669902,YIFR2,-15.4021378,27.9224834,2024-10-29 10:06:54
18669903,CYEL8,-15.4147844,28.1451511,2024-10-29 10:06:54
18670018,EAFP7,-15.4164228,28.1371899,2024-10-29 10:07:51
18670019,QLJD0,-15.394227,28.0267525,2024-10-29 10:07:54
18670020,YIFR2,-15.4021378,27.9224834,2024-10-29 10:07:54
18670021,CYEL8,-15.4132996,28.1441021,2024-10-29 10:07:54
18670136,EAFP7,-15.4164228,28.1371651,2024-10-29 10:08:51
18670137,QLJD0,-15.394227,28.0267525,2024-10-29 10:08:54
18670138,YIFR2,-15.4021378,27.9224834,2024-10-29 10:08:54
18670139,CYEL8,-15.4132996,28.1441021,2024-10-29 10:08:54
18670254,EAFP7,-15.4164476,28.1371651,2024-10-29 10:09:51
18670255,QLJD0,-15.3969917,28.0286465,2024-10-29 10:09:54
18670256,YIFR2,-15.4021378,27.9224834,2024-10-29 10:09:54
18670257,CYEL8,-15.4132738,28.1441021,2024-10-29 10:09:53
18670372,EAFP7,-15.4164476,28.1371651,2024-10-29 10:10:51
18670373,QLJD0,-15.3969917,28.0286465,2024-10-29 10:10:54
18670374,YIFR2,-15.4021378,27.9224834,2024-10-29 10:10:54
18670375,CYEL8,-15.4133244,28.1440773,2024-10-29 10:10:54
18670490,EAFP7,-15.4151936,28.1335545,2024-10-29 10:11:52
18670491,QLJD0,-15.4031105,28.0338688,2024-10-29 10:11:55
18670492,YIFR2,-15.4021378,27.9224834,2024-10-29 10:11:55
18670493,CYEL8,-15.4133244,28.1440773,2024-10-29 10:11:55
18670608,EAFP7,-15.4151936,28.1335545,2024-10-29 10:12:51
18670609,QLJD0,-15.4152193,28.0442619,2024-10-29 10:12:55
18670610,YIFR2,-15.4021378,27.9224834,2024-10-29 10:12:55
18670611,CYEL8,-15.4133501,28.1441021,2024-10-29 10:12:55
18670726,EAFP7,-15.4152708,28.1321468,2024-10-29 10:13:51
18670727,QLJD0,-15.4148865,28.053299,2024-10-29 10:13:54
18670728,YIFR2,-15.4021378,27.9224834,2024-10-29 10:13:54
18670729,CYEL8,-15.4133759,28.1441288,2024-10-29 10:13:54
18670844,EAFP7,-15.4162941,28.1340675,2024-10-29 10:14:53
18670845,QLJD0,-15.4148865,28.053299,2024-10-29 10:14:57
18670846,YIFR2,-15.4021378,27.9224834,2024-10-29 10:14:57
18670847,CYEL8,-15.4133759,28.1441288,2024-10-29 10:14:57
18670962,EAFP7,-15.4163198,28.1372166,2024-10-29 10:15:51
18670963,QLJD0,-15.4194431,28.0635128,2024-10-29 10:15:55
18670964,YIFR2,-15.4021378,27.9224834,2024-10-29 10:15:55
18670965,CYEL8,-15.4131966,28.1439743,2024-10-29 10:15:55
18671080,EAFP7,-15.4163198,28.1372166,2024-10-29 10:16:52
18671081,QLJD0,-15.4157314,28.0785656,2024-10-29 10:16:54
18671082,YIFR2,-15.4021378,27.9224834,2024-10-29 10:16:54
